Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,mouse_id_number,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,strain,tissue
SRR21355458,RNA-Seq,300,5888750100,PRJNA875066,SAMN30601735,2235643490,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX17361173,Illumina NovaSeq 6000,GSM6527819,PAIRED,cDNA,TRANSCRIPTOMIC,37,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:09:00Z,1,GSM6527819,female,Pons,SRP394927,C57BL/6JN,Pons
SRR21355459,RNA-Seq,300,4424660700,PRJNA875066,SAMN30601736,1682308006,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX17361172,Illumina NovaSeq 6000,GSM6527818,PAIRED,cDNA,TRANSCRIPTOMIC,36,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:01:00Z,1,GSM6527818,male,Pons,SRP394927,C57BL/6JN,Pons
SRR21355460,RNA-Seq,300,996068700,PRJNA875066,SAMN30601737,370011769,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX17361171,Illumina NovaSeq 6000,GSM6527817,PAIRED,cDNA,TRANSCRIPTOMIC,35,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:34:00Z,1,GSM6527817,male,Pons,SRP394927,C57BL/6JN,Pons
SRR21355461,RNA-Seq,300,12800749500,PRJNA875066,SAMN30601738,4669346788,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX17361170,Illumina NovaSeq 6000,GSM6527816,PAIRED,cDNA,TRANSCRIPTOMIC,34,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-02T06:08:00Z,1,GSM6527816,male,Pons,SRP394927,C57BL/6JN,Pons
SRR21355462,RNA-Seq,300,7087472400,PRJNA875066,SAMN30601739,2539264879,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX17361169,Illumina NovaSeq 6000,GSM6527815,PAIRED,cDNA,TRANSCRIPTOMIC,32,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:25:00Z,1,GSM6527815,male,Pons,SRP394927,C57BL/6JN,Pons
SRR21355463,RNA-Seq,300,7086826500,PRJNA875066,SAMN30601812,2594017226,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX17361168,Illumina NovaSeq 6000,GSM6527728,PAIRED,cDNA,TRANSCRIPTOMIC,16,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:21:00Z,1,GSM6527728,male,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355464,RNA-Seq,300,1072275600,PRJNA875066,SAMN30601813,413978871,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX17361167,Illumina NovaSeq 6000,GSM6527727,PAIRED,cDNA,TRANSCRIPTOMIC,15,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:35:00Z,1,GSM6527727,male,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355465,RNA-Seq,300,5264977500,PRJNA875066,SAMN30601814,2030624470,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX17361166,Illumina NovaSeq 6000,GSM6527726,PAIRED,cDNA,TRANSCRIPTOMIC,14,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:58:00Z,1,GSM6527726,male,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355466,RNA-Seq,300,4774402800,PRJNA875066,SAMN30601815,1816348138,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX17361165,Illumina NovaSeq 6000,GSM6527725,PAIRED,cDNA,TRANSCRIPTOMIC,13,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:56:00Z,1,GSM6527725,female,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355467,RNA-Seq,300,7998846600,PRJNA875066,SAMN30601816,3000598521,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX17361164,Illumina NovaSeq 6000,GSM6527724,PAIRED,cDNA,TRANSCRIPTOMIC,12,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:13:00Z,1,GSM6527724,male,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355468,RNA-Seq,300,9570957000,PRJNA875066,SAMN30601817,3515645061,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX17361163,Illumina NovaSeq 6000,GSM6527722,PAIRED,cDNA,TRANSCRIPTOMIC,11,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-02T06:25:00Z,1,GSM6527722,male,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355469,RNA-Seq,300,3090441600,PRJNA875066,SAMN30601818,1146830820,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX17361162,Illumina NovaSeq 6000,GSM6527721,PAIRED,cDNA,TRANSCRIPTOMIC,10,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:45:00Z,1,GSM6527721,female,Choroid Plexus,SRP394927,C57BL/6JN,Choroid Plexus
SRR21355470,RNA-Seq,300,15734797800,PRJNA875066,SAMN30601819,5737905422,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX17361161,Illumina NovaSeq 6000,GSM6527720,PAIRED,cDNA,TRANSCRIPTOMIC,9,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-03T17:48:00Z,1,GSM6527720,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355471,RNA-Seq,300,5800992300,PRJNA875066,SAMN30601820,2151194451,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX17361160,Illumina NovaSeq 6000,GSM6527719,PAIRED,cDNA,TRANSCRIPTOMIC,8,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:09:00Z,1,GSM6527719,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355472,RNA-Seq,300,6749822100,PRJNA875066,SAMN30601821,2526609026,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX17361159,Illumina NovaSeq 6000,GSM6527718,PAIRED,cDNA,TRANSCRIPTOMIC,7,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:17:00Z,1,GSM6527718,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355473,RNA-Seq,300,5951707800,PRJNA875066,SAMN30601822,2180855815,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX17361158,Illumina NovaSeq 6000,GSM6527717,PAIRED,cDNA,TRANSCRIPTOMIC,6,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:17:00Z,1,GSM6527717,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355474,RNA-Seq,300,955868100,PRJNA875066,SAMN30601823,361352700,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX17361157,Illumina NovaSeq 6000,GSM6527715,PAIRED,cDNA,TRANSCRIPTOMIC,59,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:34:00Z,1,GSM6527715,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355475,RNA-Seq,300,6312269100,PRJNA875066,SAMN30601824,2257069807,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX17361156,Illumina NovaSeq 6000,GSM6527714,PAIRED,cDNA,TRANSCRIPTOMIC,58,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:17:00Z,1,GSM6527714,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355476,RNA-Seq,300,3203958300,PRJNA875066,SAMN30601825,1219386502,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX17361155,Illumina NovaSeq 6000,GSM6527713,PAIRED,cDNA,TRANSCRIPTOMIC,57,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:52:00Z,1,GSM6527713,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355477,RNA-Seq,300,6617718300,PRJNA875066,SAMN30601826,2440475066,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX17361154,Illumina NovaSeq 6000,GSM6527712,PAIRED,cDNA,TRANSCRIPTOMIC,56,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:16:00Z,1,GSM6527712,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355478,RNA-Seq,300,6788481300,PRJNA875066,SAMN30601827,2504871926,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX17361153,Illumina NovaSeq 6000,GSM6527711,PAIRED,cDNA,TRANSCRIPTOMIC,55,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:20:00Z,1,GSM6527711,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355479,RNA-Seq,300,1953220200,PRJNA875066,SAMN30601828,725185103,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX17361152,Illumina NovaSeq 6000,GSM6527710,PAIRED,cDNA,TRANSCRIPTOMIC,54,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:39:00Z,1,GSM6527710,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355480,RNA-Seq,300,4416459000,PRJNA875066,SAMN30601829,1689332012,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX17361151,Illumina NovaSeq 6000,GSM6527708,PAIRED,cDNA,TRANSCRIPTOMIC,53,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:01:00Z,1,GSM6527708,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355481,RNA-Seq,300,6154926000,PRJNA875066,SAMN30601830,2298129330,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX17361150,Illumina NovaSeq 6000,GSM6527707,PAIRED,cDNA,TRANSCRIPTOMIC,52,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:04:00Z,1,GSM6527707,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355482,RNA-Seq,300,3617130300,PRJNA875066,SAMN30601831,1373240365,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX17361149,Illumina NovaSeq 6000,GSM6527706,PAIRED,cDNA,TRANSCRIPTOMIC,51,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:56:00Z,1,GSM6527706,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355483,RNA-Seq,300,7064084700,PRJNA875066,SAMN30601832,2660214507,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,run.zq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX17361148,Illumina NovaSeq 6000,GSM6527705,PAIRED,cDNA,TRANSCRIPTOMIC,50,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:00:00Z,1,GSM6527705,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355484,RNA-Seq,300,5851345200,PRJNA875066,SAMN30601833,2212309436,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX17361147,Illumina NovaSeq 6000,GSM6527704,PAIRED,cDNA,TRANSCRIPTOMIC,5,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:19:00Z,1,GSM6527704,male,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355485,RNA-Seq,300,6794166900,PRJNA875066,SAMN30601834,2558573312,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX17361146,Illumina NovaSeq 6000,GSM6527702,PAIRED,cDNA,TRANSCRIPTOMIC,49,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:10:00Z,1,GSM6527702,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355486,RNA-Seq,300,2852826000,PRJNA875066,SAMN30601835,1055463213,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX17361145,Illumina NovaSeq 6000,GSM6527701,PAIRED,cDNA,TRANSCRIPTOMIC,48,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T02:50:00Z,1,GSM6527701,female,Olfactory bulb,SRP394927,C57BL/6JN,Olfactory bulb
SRR21355487,RNA-Seq,300,6251711400,PRJNA875066,SAMN30601884,2380629370,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX17361144,Illumina NovaSeq 6000,GSM6527643,PAIRED,cDNA,TRANSCRIPTOMIC,56,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:18:00Z,1,GSM6527643,female,Medulla,SRP394927,C57BL/6JN,Medulla
SRR21355488,RNA-Seq,300,5993898600,PRJNA875066,SAMN30601885,2188735627,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX17361143,Illumina NovaSeq 6000,GSM6527642,PAIRED,cDNA,TRANSCRIPTOMIC,55,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:15:00Z,1,GSM6527642,female,Medulla,SRP394927,C57BL/6JN,Medulla
SRR21355489,RNA-Seq,300,12133209300,PRJNA875066,SAMN30601886,4430361916,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX17361142,Illumina NovaSeq 6000,GSM6527641,PAIRED,cDNA,TRANSCRIPTOMIC,54,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-02T06:04:00Z,1,GSM6527641,female,Medulla,SRP394927,C57BL/6JN,Medulla
SRR21355490,RNA-Seq,300,8216904300,PRJNA875066,SAMN30601887,3016297013,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX17361141,Illumina NovaSeq 6000,GSM6527640,PAIRED,cDNA,TRANSCRIPTOMIC,53,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2022-09-01T03:27:00Z,1,GSM6527640,female,Medulla,SRP394927,C57BL/6JN,Medulla
