Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,experiment_group,Experiment,Instrument,Library Name,library_strategy,LibraryLayout,LibrarySelection,LibrarySource,mouse_id_number,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,source_name,SRA Study,strain,tissue,treatment
SRR23914349,RNA-Seq,300,2733166500,PRJNA946653,SAMN33826969,994361987,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726057,Illumina NovaSeq 6000,GSM7105530,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:07:00Z,1,GSM7105530,male,Thalamus,SRP428176,C57BL/6JN,Thalamus,PBS
SRR23914350,RNA-Seq,300,6187922100,PRJNA946653,SAMN33826970,2275301732,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",Young Plasma Injection,SRX19726056,Illumina NovaSeq 6000,GSM7105529,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:32:00Z,1,GSM7105529,male,Thalamus,SRP428176,C57BL/6JN,Thalamus,YMP
SRR23914351,RNA-Seq,300,7246278600,PRJNA946653,SAMN33826971,2656595804,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726055,Illumina NovaSeq 6000,GSM7105528,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,72,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:16:00Z,1,GSM7105528,male,Thalamus,SRP428176,C57BL/6JN,Thalamus,PBS
SRR23914352,RNA-Seq,300,1462620900,PRJNA946653,SAMN33826972,554630413,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",Young Plasma Injection,SRX19726054,Illumina NovaSeq 6000,GSM7105527,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,84,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:04:00Z,1,GSM7105527,male,SVZ,SRP428176,C57BL/6JN,SVZ,PBS
SRR23914353,RNA-Seq,300,6828775800,PRJNA946653,SAMN33826973,2540942416,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726053,Illumina NovaSeq 6000,GSM7105526,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,81,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:21:00Z,1,GSM7105526,male,SVZ,SRP428176,C57BL/6JN,SVZ,YMP
SRR23914354,RNA-Seq,300,2367534600,PRJNA946653,SAMN33826974,882325015,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726052,Illumina NovaSeq 6000,GSM7105525,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,80,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:06:00Z,1,GSM7105525,male,SVZ,SRP428176,C57BL/6JN,SVZ,PBS
SRR23914355,RNA-Seq,300,5785739700,PRJNA946653,SAMN33826975,2115217306,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",Young Plasma Injection,SRX19726051,Illumina NovaSeq 6000,GSM7105524,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,77,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:13:00Z,1,GSM7105524,male,SVZ,SRP428176,C57BL/6JN,SVZ,YMP
SRR23914356,RNA-Seq,300,7341469500,PRJNA946653,SAMN33826976,2683355335,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Young Plasma Injection,SRX19726050,Illumina NovaSeq 6000,GSM7105523,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,76,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:14:00Z,1,GSM7105523,male,SVZ,SRP428176,C57BL/6JN,SVZ,PBS
SRR23914357,RNA-Seq,300,2629809600,PRJNA946653,SAMN33826977,1000969464,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",Young Plasma Injection,SRX19726049,Illumina NovaSeq 6000,GSM7105522,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,73,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:07:00Z,1,GSM7105522,male,SVZ,SRP428176,C57BL/6JN,SVZ,YMP
SRR23914358,RNA-Seq,300,12803856600,PRJNA946653,SAMN33826978,4688133103,"TONY WYSS-CORAY, NEUROLOGY & NEUROLOGICAL SCIENCES, STANFORD MEDICINE",public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",Young Plasma Injection,SRX19726048,Illumina NovaSeq 6000,GSM7105521,Unstranded mRNA-seq,PAIRED,cDNA,TRANSCRIPTOMIC,72,Mus musculus,ILLUMINA,2023-04-18T00:00:00Z,2023-03-20T11:13:00Z,1,GSM7105521,male,SVZ,SRP428176,C57BL/6JN,SVZ,PBS
