Gene Symbol	Gene name\
Aagab	alpha- and gamma-adaptin binding protein\
Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b\
Abca9	ATP-binding cassette, sub-family A (ABC1), member 9\
Abcc12	ATP-binding cassette, sub-family C (CFTR/MRP), member 12\
Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8\
Abcf1	ATP-binding cassette, sub-family F (GCN20), member 1\
Abhd3	abhydrolase domain containing 3\
Acaa2	acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)\
Acbd4	acyl-Coenzyme A binding domain containing 4\
Acbd5	acyl-Coenzyme A binding domain containing 5\
Acot7	acyl-CoA thioesterase 7\
Acp5	acid phosphatase 5, tartrate resistant\
Actr10	ARP10 actin-related protein 10\
Adal	adenosine deaminase-like\
Adamts18	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 18\
Adamts6	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6\
Adgrb2	adhesion G protein-coupled receptor B2\
Adgrl1	adhesion G protein-coupled receptor L1\
Adprhl2	ADP-ribosylhydrolase like 2\
Ahnak2	AHNAK nucleoprotein 2\
Aifm2	apoptosis-inducing factor, mitochondrion-associated 2\
Aifm3	apoptosis-inducing factor, mitochondrion-associated 3\
Akap17b	A kinase (PRKA) anchor protein 17B\
Aldh1l1	aldehyde dehydrogenase 1 family, member L1\
Aldh2	aldehyde dehydrogenase 2, mitochondrial\
Alg14	asparagine-linked glycosylation 14\
Amigo2	adhesion molecule with Ig like domain 2\
Aox3	aldehyde oxidase 3\
Apba3	amyloid beta (A4) precursor protein-binding, family A, member 3\
Aph1c	aph1 homolog C, gamma secretase subunit\
Api5	apoptosis inhibitor 5\
Apoa1	apolipoprotein A-I\
Apoc1	apolipoprotein C-I\
Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1\
Arhgap15	Rho GTPase activating protein 15\
Arhgap27os2	Rho GTPase activating protein 27, opposite strand 2\
Arhgef15	Rho guanine nucleotide exchange factor (GEF) 15\
Arid4a	AT rich interactive domain 4A (RBP1-like)\
Arl2	ADP-ribosylation factor-like 2\
Arl6	ADP-ribosylation factor-like 6\
Arrdc1	arrestin domain containing 1\
Arsb	arylsulfatase B\
Arxes1	adipocyte-related X-chromosome expressed sequence 1\
As3mt	arsenic (+3 oxidation state) methyltransferase\
Asb11	ankyrin repeat and SOCS box-containing 11\
Asl	argininosuccinate lyase\
Asnsd1	asparagine synthetase domain containing 1\
Atf1	activating transcription factor 1\
Atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase\
Atl2	atlastin GTPase 2\
Atp6v0d2	ATPase, H+ transporting, lysosomal V0 subunit D2\
Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A\
Atp8a2	ATPase, aminophospholipid transporter-like, class I, type 8A, member 2\
B3galt1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1\
Baalc	brain and acute leukemia, cytoplasmic\
Bbip1	BBSome interacting protein 1\
Bbs12	Bardet-Biedl syndrome 12 (human)\
BC004004	cDNA sequence BC004004\
BC005561	cDNA sequence BC005561\
Bdnf	brain derived neurotrophic factor\
Begain	brain-enriched guanylate kinase-associated\
Bglap	bone gamma carboxyglutamate protein\
Bivm	basic, immunoglobulin-like variable motif containing\
Bmp5	bone morphogenetic protein 5\
Bmpr2	bone morphogenetic protein receptor, type II (serine/threonine kinase)\
